"SC-SM"|"No "|"16808845"|"32698699"
"CL-ML"|"Yes"|"16808845"|"32698809"
"ML"|"No "|"16808845"|"32698919"
"SC"|"Yes"|"16808846"|"32698700"
"CL"|"No "|"16808846"|"32699029"
"SC"|"Yes"|"16808847"|"32698810"
"SC-SM"|"No "|"16808847"|"32698920"
"SM"|"No "|"16808847"|"32699030"
"SC-SM"|"No "|"16808848"|"32698701"
"SM"|"Yes"|"16808848"|"32698811"
"SM"|"Yes"|"16808849"|"32698921"
"SC"|"Yes"|"16808850"|"32698702"
"CL"|"No "|"16808850"|"32699031"
"SC-SM"|"No "|"16808851"|"32698703"
"CL"|"Yes"|"16808851"|"32698812"
"CL-ML"|"No "|"16808851"|"32698922"
"SC"|"No "|"16808851"|"32699032"
"ML"|"No "|"16808852"|"32699033"
"CL-ML"|"Yes"|"16808852"|"32698923"
"CL"|"No "|"16808852"|"32698813"
"CL"|"Yes"|"16808853"|"32698704"
"CL-ML"|"No "|"16808853"|"32698814"
"SC"|"No "|"16808853"|"32698924"
"SC-SM"|"No "|"16808853"|"32699034"
"CL"|"No "|"16808854"|"32698705"
"CL-ML"|"No "|"16808854"|"32698815"
"SC"|"No "|"16808854"|"32698925"
"SC-SM"|"Yes"|"16808854"|"32699035"
"SC-SM"|"No "|"16808855"|"32699036"
"SC"|"Yes"|"16808855"|"32698926"
"CL-ML"|"No "|"16808855"|"32698816"
"CL"|"No "|"16808855"|"32698706"
"SM"|"Yes"|"16808856"|"32698707"
"SP-SM"|"No "|"16808856"|"32698817"
"SW-SM"|"No "|"16808856"|"32698927"
"CL"|"No "|"16808857"|"32699037"
"SC"|"Yes"|"16808857"|"32698708"
"SC"|"Yes"|"16808858"|"32698818"
"SC-SM"|"No "|"16808858"|"32698928"
"SM"|"No "|"16808858"|"32699038"
"SC-SM"|"No "|"16808859"|"32698709"
"SM"|"Yes"|"16808859"|"32698819"
"SM"|"No "|"16808860"|"32698710"
"SC"|"No "|"16808860"|"32698929"
"SC-SM"|"Yes"|"16808860"|"32699039"
"SC-SM"|"No "|"16808861"|"32698820"
"SM"|"Yes"|"16808861"|"32698930"
"SC-SM"|"No "|"16808862"|"32699040"
"SM"|"Yes"|"16808862"|"32698711"
"SC-SM"|"No "|"16808863"|"32698712"
"CL"|"Yes"|"16808863"|"32698821"
"CL-ML"|"No "|"16808863"|"32698931"
"SC"|"No "|"16808863"|"32699041"
"SC-SM"|"No "|"16808864"|"32698713"
"CL"|"Yes"|"16808864"|"32698822"
"CL-ML"|"No "|"16808864"|"32698932"
"SC"|"No "|"16808864"|"32699042"
"PT"|"Yes"|"16808865"|"32698823"
"SC-SM"|"No "|"16808866"|"32698933"
"SM"|"Yes"|"16808866"|"32699043"
"CL"|"Yes"|"16808867"|"32698714"
"CL-ML"|"No "|"16808867"|"32698824"
"SC"|"No "|"16808867"|"32698934"
"SC-SM"|"No "|"16808867"|"32699044"
"CL"|"No "|"16808868"|"32698715"
"SC"|"Yes"|"16808868"|"32698825"
"SC-SM"|"No "|"16808868"|"32698935"
"CL"|"Yes"|"16808869"|"32698716"
"CH"|"No "|"16808869"|"32699045"
"SM"|"Yes"|"16808870"|"32698936"
"SC-SM"|"No "|"16808870"|"32698826"
"SM"|"Yes"|"16808871"|"32698717"
"SP-SM"|"No "|"16808871"|"32698827"
"SC-SM"|"No "|"16808871"|"32699046"
"ML"|"No "|"16808872"|"32698718"
"CL"|"No "|"16808872"|"32698937"
"CL-ML"|"Yes"|"16808872"|"32699047"
"SC"|"No "|"16808873"|"32699048"
"CL-ML"|"No "|"16808873"|"32698938"
"CL"|"Yes"|"16808873"|"32698828"
"SC-SM"|"No "|"16808873"|"32698719"
"CL"|"No "|"16808874"|"32698829"
"SC-SM"|"Yes"|"16808874"|"32698720"
"SC"|"No "|"16808874"|"32699049"
"CL-ML"|"No "|"16808874"|"32698939"
"SC-SM"|"No "|"16808875"|"32698721"
"CL"|"No "|"16808875"|"32698830"
"CL-ML"|"No "|"16808875"|"32698940"
"SC"|"Yes"|"16808875"|"32699050"
"CL"|"Yes"|"16808876"|"32698831"
"SC-SM"|"No "|"16808877"|"32698941"
"SM"|"Yes"|"16808877"|"32699051"
"SC-SM"|"No "|"16808878"|"32698832"
"SC"|"Yes"|"16808878"|"32698722"
"SC-SM"|"No "|"16808879"|"32698942"
"SM"|"Yes"|"16808879"|"32699052"
"CL"|"No "|"16808880"|"32698723"
"CL-ML"|"No "|"16808880"|"32698833"
"SC"|"Yes"|"16808880"|"32698943"
"SC-SM"|"No "|"16808880"|"32699053"
"SM"|"Yes"|"16808881"|"32698834"
"ML"|"No "|"16808881"|"32698724"
"CL-ML"|"No "|"16808882"|"32699054"
"CL"|"Yes"|"16808882"|"32698944"
"SC-SM"|"No "|"16808882"|"32698835"
"SC"|"No "|"16808882"|"32698725"
"SC"|"No "|"16808883"|"32698726"
"SC-SM"|"No "|"16808883"|"32698836"
"CL"|"Yes"|"16808883"|"32698945"
"CL-ML"|"No "|"16808883"|"32699055"
"CL-ML"|"No "|"16808884"|"32699056"
"CL"|"No "|"16808884"|"32698946"
"SC-SM"|"No "|"16808884"|"32698837"
"SC"|"Yes"|"16808884"|"32698727"
