"H1"||"H"||1||0|||18|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|70|80|90||20.8|||0.1|||0.4|||1.2|||5.7|||13.4|||67.2||||||||8|12|20||||1.25|2|3||||1.2|1.28|1.35|||||1.34|||4|9|14|0.17|0.19|0.2|||||24.4|||8.6|||48||0|1.5|2.9|14|18|25|2|4|8|0|0|5|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|4.8|7.5|11.8|3.6|5.6|8.8|4.4|8.6|13.9|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"7663985"|"21465394"
"H2"||"H"||2||18|||38|||||0|0|0|0|0|0|100|100|100|100|100|100|85|95|100|60|80|90||13.9|||0.1|||0.3|||0.8|||3.8|||8.9|||74.1||||||||8|12|20||||0|0|0||||1.2|1.28|1.35|||||1.34|||4|9|14|0.17|0.19|0.2|||||21.7|||6.1|||49||0|1.5|2.9|14|18|25|2|4|8|0|0|5|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|2|3|5|1.5|2.2|3.8|4.4|8.6|13.9|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"7663985"|"21465395"
"H3"||"H"||3||38|||109|||||0|0|0|0|0|0|100|100|100|100|100|100|85|97.5|100|60|90|100||9.1|||0.5|||0.8|||1.2|||2.9|||3.7|||60.9||||||||18|30|40||||0|0|0||||1.25|1.33|1.4|||||1.39|||0.42|1|1.4|0.13|0.17|0.2|||||30.4|||16|||47||0|1.5|2.9|23|30|43|7|11|18|1|9|20|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|6.5|10|3.4|4.9|7.5|4.4|8.6|13.9|4.5|5|7.3|||||||||||||||||||||||||||||||||"7663985"|"21465396"
"H4"||"H"||4||109|||168|||||0|0|0|0|0|0|100|100|100|100|100|100|40|78|100|5|48|95||65.3|||0.1|||3|||14.8|||31.3|||16.1|||19.7||||||||2|15|40||||0|0|0||||1.3|1.4|1.5|||||1.46|||14|78|141|0.04|0.08|0.12|||||19.1|||9.4|||45||0|1.5|2.9|8|20.5|43|0|5.5|18|0|0|19|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|0.3|3.8|10|0.3|2.8|7.5|4.4|8.6|13.9|4.5|5.9|7.3|||||||||||||||||||||||||||||||||"7663985"|"21465397"
"H1"||"H"||1||0|||15|||||0|0|0|0|0|0||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0|0||||||||||||||||||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|||||||||||||||||||||||||||||||||||||||||||||"7663893"|"21465155"
"H1"||"H"||1||0|||18|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|70|80|90||13.7|||0.1|||0.4|||1|||3.9|||8.3|||69.3||||||||5|17|27||||0.5|1.25|2||||1.3|1.4|1.5|||||1.46|||14|28|42|0.15|0.2|0.24|||||26.8|||11.2|||44||0|1.5|2.9|11|22|31|0.5|6.5|11.5|0|2|9|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|2.4|7.1|11.2|1.8|5.3|8.4|1|2.4|4.4|3.6|4|6|||||||||||||||||||||||||||||||||"7663892"|"21465152"
"H2"||"H"||4||18|||135|||||0|0|0|0|0|0|100|100|100|100|100|100|90|97.5|100|70|90|95||6.8|||0.3|||0.6|||0.9|||2.2|||2.8|||63.2||||||||8|30|40||||0|0|0||||1.3|1.4|1.5|||||1.46|||1.4|8|14|0.15|0.18|0.22|||||31|||16.8|||45||0|1.5|2.9|14|34|43|1|13|18|0|11|19|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|2|7.5|10|1.5|5.6|7.5|1|2.4|4.4|3.6|4|6|||||||||||||||||||||||||||||||||"7663892"|"21465153"
"H3"||"H"||5||135|||183|||||0|0|0|0|0|0|100|100|100|100|100|100|70|78|85|28|48|55||71.3|||0.1|||3.3|||16.2|||34.2|||17.5|||16.7||||||||5|12|20||||0|0|0||||1.3|1.4|1.5|||||1.46|||4|14|42|0.15|0.2|0.24|||||17.3|||7.6|||45||0|1.5|2.9|11|18|25|0.5|8|8|0|0|1|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|1.2|3|5|0.9|2.2|3.8|1|2.4|4.4|3.6|4|6|||||||||||||||||||||||||||||||||"7663892"|"21465154"
"H1"||"H"||1||0|||18|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|70|80|90||20.8|||0.1|||0.4|||1.2|||5.7|||13.4|||67.2||||||||8|12|20||||1.25|2|3||||1.2|1.28|1.35|||||1.34|||4|9|14|0.17|0.19|0.2|||||24.4|||8.6|||48||0|1.5|2.9|14|18|25|2|4|8|0|0|5|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|4.8|7.5|11.8|3.6|5.6|8.8|4.4|8.6|13.9|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"7663984"|"21465390"
"H2"||"H"||2||18|||38|||||0|0|0|0|0|0|100|100|100|100|100|100|85|95|100|60|80|90||13.9|||0.1|||0.3|||0.8|||3.8|||8.9|||74.1||||||||8|12|20||||0|0|0||||1.2|1.28|1.35|||||1.34|||4|9|14|0.17|0.19|0.2|||||21.7|||6.1|||49||0|1.5|2.9|14|18|25|2|4|8|0|0|5|".37"|".37"|0|0|0|0|0|0|0|0|0|0|0|0|2|3|5|1.5|2.2|3.8|4.4|8.6|13.9|3.6|4.6|5.5|||||||||||||||||||||||||||||||||"7663984"|"21465391"
