"SC-SM"|"No "|"16805943"|"32692299"
"SM"|"Yes"|"16805943"|"32692565"
"CL-ML"|"No "|"16805944"|"32692831"
"ML"|"Yes"|"16805944"|"32693096"
"SC-SM"|"No "|"16805945"|"32692300"
"SM"|"Yes"|"16805945"|"32692566"
"ML"|"No "|"16805946"|"32692301"
"CL"|"Yes"|"16805946"|"32692832"
"CL-ML"|"No "|"16805946"|"32693097"
"SM"|"Yes"|"16805947"|"32692567"
"SC-SM"|"No "|"16805948"|"32692833"
"SM"|"Yes"|"16805948"|"32693098"
"CL"|"No "|"16805949"|"32692302"
"SC"|"Yes"|"16805949"|"32692568"
"SC-SM"|"No "|"16805949"|"32692834"
"SC"|"No "|"16805950"|"32692303"
"SC-SM"|"Yes"|"16805950"|"32692569"
"SM"|"No "|"16805950"|"32692835"
"CL-ML"|"No "|"16805950"|"32693099"
"SC"|"Yes"|"16805951"|"32692304"
"SC-SM"|"No "|"16805951"|"32692570"
"CL"|"No "|"16805951"|"32693100"
"CL"|"Yes"|"16805952"|"32692836"
"SM"|"Yes"|"16805953"|"32693101"
"SM"|"Yes"|"16805954"|"32692305"
"SP-SM"|"No "|"16805955"|"32692837"
"SM"|"Yes"|"16805955"|"32692571"
"SM"|"No "|"16805956"|"32692306"
"SC-SM"|"Yes"|"16805956"|"32692572"
"ML"|"No "|"16805956"|"32693102"
"CL"|"No "|"16805957"|"32692838"
"SC"|"Yes"|"16805957"|"32693103"
"CL"|"Yes"|"16805958"|"32692307"
"CL"|"Yes"|"16805959"|"32692573"
"SM"|"Yes"|"16805960"|"32692839"
"ML"|"No "|"16805961"|"32693104"
"SM"|"No "|"16805961"|"32692574"
"SC-SM"|"Yes"|"16805961"|"32692308"
"SC-SM"|"No "|"16805962"|"32692309"
"CL"|"No "|"16805962"|"32692840"
"SC"|"Yes"|"16805962"|"32693105"
"SC-SM"|"Yes"|"16805963"|"32692575"
"SM"|"No "|"16805963"|"32692841"
"PT"|"Yes"|"16805964"|"32693106"
"SC-SM"|"Yes"|"16805965"|"32692310"
"SM"|"No "|"16805965"|"32692576"
"SC-SM"|"No "|"16805966"|"32692842"
"SM"|"Yes"|"16805966"|"32693107"
"SC-SM"|"Yes"|"16805967"|"32692843"
"SC"|"No "|"16805967"|"32692577"
"CL-ML"|"No "|"16805967"|"32692311"
"SM"|"No "|"16805968"|"32692312"
"SC-SM"|"Yes"|"16805968"|"32693108"
"ML"|"No "|"16805969"|"32692578"
