"CL"|"No "|"21465130"|"41300050"
"CL-ML"|"No "|"21465130"|"41300051"
"ML"|"Yes"|"21465130"|"41300052"
"CL"|"No "|"21465131"|"41300047"
"CL-ML"|"No "|"21465131"|"41300048"
"ML"|"Yes"|"21465131"|"41300049"
"CL"|"Yes"|"21465132"|"41300046"
"SC"|"Yes"|"21465133"|"41300042"
"SC-SM"|"No "|"21465133"|"41300043"
"SM"|"No "|"21465133"|"41300044"
"SW-SM"|"No "|"21465133"|"41300045"
"CL"|"No "|"21465134"|"41300154"
"CL-ML"|"No "|"21465134"|"41300155"
"ML"|"Yes"|"21465134"|"41300156"
"CL"|"No "|"21465135"|"41300151"
"CL-ML"|"No "|"21465135"|"41300152"
"ML"|"Yes"|"21465135"|"41300153"
"CL"|"Yes"|"21465136"|"41300150"
"SC"|"Yes"|"21465137"|"41300146"
"SC-SM"|"No "|"21465137"|"41300147"
"SM"|"No "|"21465137"|"41300148"
"SW-SM"|"No "|"21465137"|"41300149"
"CL-ML"|"No "|"21465139"|"41300040"
"ML"|"Yes"|"21465139"|"41300041"
"CL"|"No "|"21465140"|"41300037"
"CL-ML"|"No "|"21465140"|"41300038"
"ML"|"Yes"|"21465140"|"41300039"
"SC-SM"|"No "|"21465141"|"41300033"
"SP-SM"|"No "|"21465141"|"41300034"
"SM"|"No "|"21465141"|"41300035"
"SC"|"Yes"|"21465141"|"41300036"
"CL-ML"|"No "|"21465142"|"41300144"
"ML"|"Yes"|"21465142"|"41300145"
"CL"|"No "|"21465143"|"41300141"
"CL-ML"|"No "|"21465143"|"41300142"
"ML"|"Yes"|"21465143"|"41300143"
"SC-SM"|"No "|"21465144"|"41300137"
"SP-SM"|"No "|"21465144"|"41300138"
"SM"|"No "|"21465144"|"41300139"
"SC"|"Yes"|"21465144"|"41300140"
"CL-ML"|"No "|"21465146"|"41300028"
"ML"|"No "|"21465146"|"41300029"
"SC-SM"|"No "|"21465146"|"41300030"
"SM"|"No "|"21465146"|"41300031"
"SC"|"Yes"|"21465146"|"41300032"
"ML"|"No "|"21465147"|"41300025"
"SM"|"No "|"21465147"|"41300026"
"SC"|"Yes"|"21465147"|"41300027"
"SM"|"Yes"|"21465148"|"41300022"
"SP"|"No "|"21465148"|"41300023"
"SW-SM"|"No "|"21465148"|"41300024"
"CL-ML"|"No "|"21465149"|"41300020"
"ML"|"Yes"|"21465149"|"41300021"
"CL-ML"|"No "|"21465150"|"41300017"
"ML"|"Yes"|"21465150"|"41300018"
"SC-SM"|"No "|"21465150"|"41300019"
"ML"|"No "|"21465151"|"41300013"
"SC-SM"|"No "|"21465151"|"41300014"
"SM"|"No "|"21465151"|"41300015"
"SC"|"Yes"|"21465151"|"41300016"
"CL-ML"|"No "|"21465152"|"41300135"
"ML"|"Yes"|"21465152"|"41300136"
"CL-ML"|"No "|"21465153"|"41300132"
"ML"|"Yes"|"21465153"|"41300133"
"SC-SM"|"No "|"21465153"|"41300134"
"ML"|"No "|"21465154"|"41300128"
"SC-SM"|"No "|"21465154"|"41300129"
"SM"|"No "|"21465154"|"41300130"
"SC"|"Yes"|"21465154"|"41300131"
"SP-SM"|"Yes"|"21465156"|"41300012"
"SP-SM"|"Yes"|"21465157"|"41300127"
"SP-SM"|"Yes"|"21465158"|"41300011"
"PT"|"Yes"|"21465159"|"41300010"
"PT"|"Yes"|"21465160"|"41300009"
"SC-SM"|"Yes"|"21465161"|"41300008"
"ML"|"No "|"21465162"|"41300004"
"SC"|"Yes"|"21465162"|"41300005"
"CL"|"No "|"21465162"|"41300006"
"SM"|"No "|"21465162"|"41300007"
"ML"|"No "|"21465163"|"41300002"
"SC-SM"|"Yes"|"21465163"|"41300003"
"SC-SM"|"Yes"|"21465164"|"41299999"
"SM"|"No "|"21465164"|"41300000"
"SP-SM"|"No "|"21465164"|"41300001"
"ML"|"No "|"21465165"|"41300123"
"SC"|"Yes"|"21465165"|"41300124"
"CL"|"No "|"21465165"|"41300125"
"SM"|"No "|"21465165"|"41300126"
"ML"|"No "|"21465166"|"41300121"
"SC-SM"|"Yes"|"21465166"|"41300122"
"SC-SM"|"Yes"|"21465167"|"41300118"
"SM"|"No "|"21465167"|"41300119"
"SP-SM"|"No "|"21465167"|"41300120"
"SP-SM"|"Yes"|"21465169"|"41300117"
"SC-SM"|"Yes"|"21465170"|"41299998"
"SP-SM"|"Yes"|"21465171"|"41299997"
"ML"|"Yes"|"21465172"|"41299995"
"CL-ML"|"No "|"21465172"|"41299996"
"CL"|"Yes"|"21465173"|"41299994"
"SM"|"No "|"21465174"|"41299991"
"SW-SM"|"No "|"21465174"|"41299992"
