"p"|"18950622"|"5521262"
"p"|"18950640"|"5521276"
"g"|"18950657"|"5521239"
"t"|"18950672"|"5521265"
"g"|"18950690"|"5521266"
"t"|"18950690"|"5521253"
"g"|"18950706"|"5521280"
"p"|"18950707"|"5521242"
"g"|"18950708"|"5521255"
"p"|"18950545"|"5521231"
"t"|"18950559"|"5521270"
"g"|"18950559"|"5521232"
"p"|"18950579"|"5521271"
"t"|"18950595"|"5521272"
"g"|"18950604"|"5521235"
"p"|"18950609"|"5521248"
"t"|"18950629"|"5521275"
"g"|"18950629"|"5521237"
"g"|"18950645"|"5521251"
"g"|"18950654"|"5521277"
"p"|"18950695"|"5521279"
"g"|"18950727"|"5521256"
"t"|"18950727"|"5521243"
"t"|"18950547"|"5521244"
"p"|"18950566"|"5521258"
"g"|"18950582"|"5521233"
"g"|"18950583"|"5521246"
"g"|"18950597"|"5521247"
"t"|"18950616"|"5521274"
"g"|"18950616"|"5521236"
"g"|"18950617"|"5521249"
"g"|"18950632"|"5521250"
"p"|"18950650"|"5521264"
"g"|"18950667"|"5521252"
"p"|"18950682"|"5521240"
"g"|"18950699"|"5521254"
"t"|"18950699"|"5521241"
"g"|"18950716"|"5521268"
"t"|"18950731"|"5521269"
"p"|"18950553"|"5521257"
"g"|"18950560"|"5521245"
"g"|"18950594"|"5521259"
"p"|"18950596"|"5521234"
"g"|"18950603"|"5521273"
"t"|"18950603"|"5521260"
"g"|"18950610"|"5521261"
"p"|"18950635"|"5521263"
"g"|"18950644"|"5521238"
"p"|"18950678"|"5521278"
"g"|"18950703"|"5521267"
"g"|"18950721"|"5521281"
