"Fine sandy loam"||"37206744"|"37867975"
"Silt loam"||"37206745"|"37868124"
"Sandy clay loam"||"37206746"|"37868273"
"Sandy clay loam"||"37206747"|"37868422"
"Loam"||"37206761"|"37868128"
"Sandy clay loam"||"37206762"|"37868277"
"Sandy loam"||"37206763"|"37868426"
"Sandy loam"||"37206764"|"37867980"
"Sand"||"37206778"|"37868281"
"Fine sandy loam"||"37206779"|"37868430"
"Clay loam"||"37206780"|"37867984"
"Clay"||"37206781"|"37868133"
"Loamy fine sand"||"37206794"|"37868285"
"Sand"||"37206795"|"37868434"
"Sandy clay loam"||"37206796"|"37867988"
"Silty clay"||"37206797"|"37868137"
"Clay"||"37206811"|"37868438"
"Sandy loam"||"37206812"|"37867992"
"Sandy clay loam"||"37206813"|"37868141"
"Loam"||"37206814"|"37868290"
"Sand"||"37206828"|"37867996"
"Sandy clay loam"||"37206829"|"37868145"
"Sandy loam"||"37206830"|"37868294"
"Loamy fine sand"||"37206831"|"37868443"
"Fine sandy loam"||"37206844"|"37868000"
"Silt loam"||"37206845"|"37868149"
"Sandy loam"||"37206846"|"37868298"
"Sand"||"37206847"|"37868447"
"Sandy clay loam"||"37206848"|"37868001"
"Sandy loam"||"37206861"|"37868153"
"Sand"||"37206862"|"37868302"
"Sand"||"37206863"|"37868451"
"Silt loam"||"37206864"|"37868005"
"Loamy fine sand"||"37206878"|"37868306"
"Fine sandy loam"||"37206879"|"37868455"
"Sandy clay loam"||"37206880"|"37868009"
"Sandy clay"||"37206881"|"37868158"
"Sandy loam"||"37206895"|"37868459"
"Sandy loam"||"37206896"|"37868013"
"Sandy loam"||"37206897"|"37868162"
"Loam"||"37206898"|"37868311"
"Fine sandy loam"||"37206911"|"37868017"
"Fine sandy loam"||"37206912"|"37868166"
"Sandy loam"||"37206913"|"37868315"
"Clay loam"||"37206914"|"37868464"
"Fine sand"||"37206928"|"37868170"
"Sandy clay"||"37206929"|"37868319"
"Loam"||"37206930"|"37868468"
"Fine sandy loam"||"37206931"|"37868022"
"Clay"||"37206945"|"37868323"
"Loamy sand"||"37206946"|"37868472"
"Silt loam"||"37206947"|"37868026"
"Fine sandy loam"||"37206948"|"37868175"
"Sandy loam"||"37206961"|"37868327"
"Silt loam"||"37206962"|"37868476"
"Sandy loam"||"37206963"|"37868030"
"Loamy fine sand"||"37206964"|"37868179"
"Loam"||"37206965"|"37868328"
"Sandy clay loam"||"37206978"|"37868480"
"Sand"||"37206979"|"37868034"
"Loamy sand"||"37206980"|"37868183"
"Silty clay"||"37206981"|"37868332"
"Loamy fine sand"||"37206995"|"37868038"
"Loamy fine sand"||"37206996"|"37868187"
"Loamy fine sand"||"37206997"|"37868336"
"Loam"||"37206998"|"37868485"
"Silty clay loam"||"37207012"|"37868191"
"Clay loam"||"37207013"|"37868340"
"Sandy loam"||"37207014"|"37868489"
"Loamy fine sand"||"37207015"|"37868043"
"Silty clay loam"||"37207028"|"37868195"
"Sandy clay loam"||"37207029"|"37868344"
"Sand"||"37207030"|"37868493"
"Sandy clay loam"||"37207031"|"37868047"
"Clay loam"||"37207045"|"37868348"
"Silt loam"||"37207046"|"37868497"
"Sandy loam"||"37207047"|"37868051"
"Loamy sand"||"37207048"|"37868200"
"Fine sandy loam"||"37207062"|"37868501"
"Sandy loam"||"37207063"|"37868055"
"Loamy sand"||"37207064"|"37868204"
"Clay loam"||"37207065"|"37868353"
"Sandy clay loam"||"37207078"|"37868505"
"Sandy clay loam"||"37207079"|"37868059"
"Loam"||"37207080"|"37868208"
"Sand"||"37207081"|"37868357"
"Sandy clay loam"||"37207082"|"37868506"
"Very fine sandy loam"||"37207095"|"37868063"
"Loamy sand"||"37207096"|"37868212"
"Loam"||"37207097"|"37868361"
"Sandy clay loam"||"37207098"|"37868510"
"Loamy sand"||"37207112"|"37868216"
"Fine sandy loam"||"37207113"|"37868365"
"Clay loam"||"37207114"|"37868514"
"Sandy clay loam"||"37207115"|"37868068"
"Sand"||"37207128"|"37868220"
"Clay"||"37207129"|"37868369"
"Sandy loam"||"37207130"|"37868518"
"Fine sandy loam"||"37207131"|"37868072"
"Sandy loam"||"37207132"|"37868221"
"Loamy sand"||"37207145"|"37868373"
"Sandy clay loam"||"37207146"|"37868522"
"Sandy loam"||"37207147"|"37868076"
"Fine sand"||"37207148"|"37868225"
"Loamy sand"||"37207162"|"37868526"
"Sandy loam"||"37207163"|"37868080"
"Loamy sand"||"37207164"|"37868229"
"Clay"||"37207165"|"37868378"
"Sandy loam"||"37207179"|"37868084"
"Sandy loam"||"37207180"|"37868233"
"Sand"||"37207181"|"37868382"
"Sand"||"37207182"|"37868531"
"Loamy sand"||"37207195"|"37868088"
"Sand"||"37207196"|"37868237"
"Loam"||"37207197"|"37868386"
"Silty clay"||"37207198"|"37868535"
"Sandy loam"||"37207199"|"37868089"
"Fine sandy loam"||"37207212"|"37868241"
"Sandy clay loam"||"37207213"|"37868390"
"Sandy loam"||"37207214"|"37868539"
"Loamy sand"||"37207215"|"37868093"
"Loamy sand"||"37207229"|"37868543"
"Silty clay loam"||"37207230"|"37868097"
"Clay"||"37207231"|"37868246"
"Loamy sand"||"37207232"|"37868395"
"Sandy loam"||"37207245"|"37868547"
"Sand"||"37207246"|"37868101"
"Loamy fine sand"||"37207247"|"37868250"
"Sand"||"37207248"|"37868399"
"Sandy clay loam"||"37207249"|"37868548"
"Sandy loam"||"37207262"|"37868105"
"Loamy sand"||"37207263"|"37868254"
"Loam"||"37207264"|"37868403"
"Loamy sand"||"37207265"|"37868552"
"Very fine sandy loam"||"37207279"|"37868258"
"Fine sandy loam"||"37207280"|"37868407"
"Clay loam"||"37207281"|"37868556"
"Clay loam"||"37207282"|"37868110"
"Sandy loam"||"37207296"|"37868411"
"Silt loam"||"37207297"|"37868560"
"Sandy loam"||"37207298"|"37868114"
"Clay loam"||"37207299"|"37868263"
"Loamy fine sand"||"37207312"|"37868415"
"Silty clay loam"||"37207313"|"37868564"
"Sandy loam"||"37207314"|"37868118"
"Sandy clay loam"||"37207315"|"37868267"
"Sandy loam"||"37207316"|"37868416"
"Loamy sand"||"37207329"|"37868122"
"Fine sandy loam"||"37207330"|"37868271"
"Fine sandy loam"||"37207331"|"37868420"
"Sandy clay loam"||"37207332"|"37868569"
"Sandy loam"||"37206748"|"37867976"
"Sandy loam"||"37206750"|"37868274"
"Loamy fine sand"||"37206757"|"37868127"
"Loam"||"37206759"|"37868425"
"Sandy loam"||"37206766"|"37868278"
"Sandy loam"||"37206768"|"37867981"
"Sandy loam"||"37206773"|"37868131"
"Loam"||"37206775"|"37868429"
"Sandy loam"||"37206777"|"37868132"
"Fine sandy loam"||"37206782"|"37868282"
"Sandy loam"||"37206784"|"37867985"
"Sand"||"37206791"|"37868433"
"Sandy clay loam"||"37206793"|"37868136"
"Sand"||"37206798"|"37868286"
"Sand"||"37206800"|"37867989"
"Loam"||"37206802"|"37868287"
"Sandy loam"||"37206807"|"37868437"
"Sand"||"37206809"|"37868140"
"Loam"||"37206816"|"37867993"
"Clay"||"37206818"|"37868291"
"Silt loam"||"37206823"|"37868441"
"Clay"||"37206825"|"37868144"
"Clay loam"||"37206827"|"37868442"
"Loamy fine sand"||"37206832"|"37867997"
"Loamy sand"||"37206834"|"37868295"
"Loamy sand"||"37206841"|"37868148"
"Sand"||"37206843"|"37868446"
"Clay loam"||"37206850"|"37868299"
"Sand"||"37206852"|"37868002"
"Sandy loam"||"37206857"|"37868152"
"Sandy clay loam"||"37206859"|"37868450"
"Clay"||"37206866"|"37868303"
"Loamy sand"||"37206868"|"37868006"
"Fine sandy loam"||"37206875"|"37868454"
"Clay"||"37206877"|"37868157"
"Loam"||"37206882"|"37868307"
"Clay loam"||"37206884"|"37868010"
"Loam"||"37206891"|"37868458"
"Sandy loam"||"37206893"|"37868161"
"Loam"||"37206900"|"37868014"
"Silty clay loam"||"37206902"|"37868312"
"Silt loam"||"37206907"|"37868462"
"Loamy sand"||"37206909"|"37868165"
"Sandy loam"||"37206916"|"37868167"
"Sandy clay"||"37206918"|"37868465"
"Sandy loam"||"37206925"|"37868318"
"Sandy clay loam"||"37206927"|"37868021"
"Loamy sand"||"37206932"|"37868171"
"Loam"||"37206934"|"37868469"
"Loamy sand"||"37206941"|"37868322"
"Loamy sand"||"37206943"|"37868025"
"Sandy loam"||"37206950"|"37868473"
"Sandy loam"||"37206952"|"37868176"
