"PLOC"|"Platanus occidentalis"|"American sycamore"|"6024227"|"10437065"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024227"|"10437049"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024227"|"10437033"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"6024227"|"10437016"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024248"|"10437071"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"6024248"|"10437055"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024248"|"10437040"
"PIST"|"Pinus strobus"|"eastern white pine"|"6024248"|"10437023"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024249"|"10437025"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024249"|"10437042"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"6024249"|"10437073"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024259"|"10437026"
"PIST"|"Pinus strobus"|"eastern white pine"|"6024259"|"10437043"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024259"|"10437059"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"6024259"|"10437074"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024235"|"10437079"
"PIST"|"Pinus strobus"|"eastern white pine"|"6024235"|"10437063"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024235"|"10437047"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"6024235"|"10437030"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024260"|"10437028"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024236"|"10437066"
"PIST"|"Pinus strobus"|"eastern white pine"|"6024236"|"10437050"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024236"|"10437034"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"6024236"|"10437017"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024255"|"10437053"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024247"|"10437069"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024258"|"10437058"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024234"|"10437045"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024231"|"10437057"
"QURU"|"Quercus rubra"|"northern red oak                                            "|"6024245"|"10437051"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024245"|"10437035"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024245"|"10437018"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024242"|"10437076"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024256"|"10437021"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024256"|"10437038"
"QURU"|"Quercus rubra"|"northern red oak                                            "|"6024256"|"10437054"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024246"|"10437068"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"6024246"|"10437052"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024246"|"10437037"
"PIST"|"Pinus strobus"|"eastern white pine"|"6024246"|"10437020"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024253"|"10437032"
"PIST"|"Pinus strobus"|"eastern white pine"|"6024243"|"10437077"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024243"|"10437061"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024243"|"10437029"
"PIST"|"Pinus strobus"|"eastern white pine"|"6024257"|"10437024"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024257"|"10437041"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"6024257"|"10437056"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024257"|"10437072"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"6024233"|"10437075"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024233"|"10437060"
"PIST"|"Pinus strobus"|"eastern white pine"|"6024233"|"10437044"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024233"|"10437027"
"PIST"|"Pinus strobus"|"eastern white pine"|"6024254"|"10437019"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024254"|"10437036"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024254"|"10437067"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024230"|"10437070"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024230"|"10437039"
"PIST"|"Pinus strobus"|"eastern white pine"|"6024230"|"10437022"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024244"|"10437080"
"PIST"|"Pinus strobus"|"eastern white pine"|"6024244"|"10437064"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024244"|"10437048"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"6024244"|"10437031"
"LITU"|"Liriodendron tulipifera"|"yellow-poplar"|"6024261"|"10437046"
"PIST"|"Pinus strobus"|"eastern white pine"|"6024261"|"10437062"
"PITA"|"Pinus taeda"|"loblolly pine"|"6024261"|"10437078"
