||"Tread"||"7405538"|"1938883"
||"Riser"||"7405538"|"1938951"
|"Base Slope"|||"7405539"|"1939019"
||"Riser"||"7405543"|"1938884"
||"Tread"||"7405543"|"1939087"
||"Riser"||"7405544"|"1938952"
||"Tread"||"7405545"|"1939020"
|"Base Slope"|||"7405546"|"1939088"
||"Tread"|"Dip"|"7405549"|"1938885"
||"Tread"|"Dip"|"7405550"|"1938953"
||"Tread"||"7405552"|"1939021"
||"Riser"||"7405552"|"1939089"
||"Tread"||"7405557"|"1938886"
||"Riser"||"7405557"|"1938954"
||"Tread"|"Dip"|"7405558"|"1939022"
||"Tread"||"7405561"|"1939090"
||"Riser"||"7405561"|"1938887"
||"Riser"||"7405564"|"1939023"
||"Tread"||"7405564"|"1938955"
||"Tread"||"7405570"|"1939091"
||"Riser"||"7405570"|"1938888"
|"Base Slope"|||"7405572"|"1938956"
|"Base Slope"|||"7405573"|"1939024"
||"Riser"||"7405574"|"1938889"
||"Tread"||"7405574"|"1939092"
|"Base Slope"|||"7405575"|"1939093"
|"Side Slope"|||"7405575"|"1939025"
|"Interfluve"|"Tread"||"7405575"|"1938957"
|"Head Slope"|"Riser"||"7405575"|"1938890"
||"Tread"||"7405576"|"1938958"
||"Riser"||"7405576"|"1939026"
|"Base Slope"|||"7405577"|"1939094"
||"Tread"||"7405579"|"1938891"
||"Riser"||"7405579"|"1938959"
||"Tread"||"7405580"|"1939027"
||"Riser"||"7405580"|"1939095"
||"Riser"||"7405581"|"1938892"
||"Tread"||"7405581"|"1938960"
|"Head Slope"|||"7405582"|"1939028"
|"Base Slope"|||"7405582"|"1939096"
||"Riser"||"7405583"|"1938961"
||"Tread"||"7405583"|"1938893"
||"Riser"||"7405589"|"1939097"
||"Tread"||"7405589"|"1939029"
|"Base Slope"|||"7405590"|"1938894"
|"Base Slope"|||"7405591"|"1938962"
|"Base Slope"|||"7405592"|"1939030"
||"Tread"||"7405594"|"1939098"
||"Riser"||"7405595"|"1938963"
||"Tread"||"7405595"|"1938895"
|"Base Slope"|||"7405596"|"1939031"
|"Base Slope"|||"7405597"|"1939099"
|"Side Slope"|||"7405598"|"1938896"
||"Tread"||"7405600"|"1938964"
||"Tread"||"7405601"|"1939032"
||"Tread"||"7405602"|"1939100"
||"Tread"||"7405610"|"1938897"
||"Riser"||"7405610"|"1938965"
||"Tread"||"7405615"|"1939033"
||"Tread"||"7405617"|"1939101"
||"Tread"||"7405618"|"1938898"
||"Riser"||"7405618"|"1938966"
||"Riser"||"7405619"|"1939034"
||"Tread"||"7405619"|"1939102"
||"Tread"||"7405620"|"1938967"
||"Riser"||"7405620"|"1938899"
|"Base Slope"|||"7405623"|"1939035"
||"Riser"||"7405624"|"1938900"
||"Tread"||"7405624"|"1939103"
||"Tread"||"7405626"|"1938968"
||"Riser"||"7405626"|"1939036"
||"Riser"||"7405627"|"1938901"
||"Tread"||"7405627"|"1939104"
||"Riser"||"7405628"|"1938969"
||"Riser"||"7405629"|"1939105"
||"Tread"||"7405629"|"1939037"
||"Tread"||"7405630"|"1938902"
||"Riser"||"7405630"|"1938970"
|"Base Slope"|||"7405631"|"1939038"
|"Base Slope"|||"7405632"|"1939106"
||"Riser"||"7405634"|"1938971"
||"Tread"||"7405634"|"1938903"
||"Tread"|"Dip"|"7405636"|"1939039"
||"Tread"||"7405637"|"1939107"
||"Riser"||"7405637"|"1938904"
||"Tread"||"7405638"|"1938972"
||"Riser"||"7405638"|"1939040"
||"Tread"|"Dip"|"7405644"|"1939108"
||"Tread"|"Dip"|"7405645"|"1938905"
||"Tread"|"Dip"|"7405646"|"1938973"
||"Riser"||"7405647"|"1939109"
||"Tread"||"7405647"|"1939041"
||"Tread"||"7405649"|"1938906"
||"Riser"||"7405649"|"1938974"
||"Tread"||"7405650"|"1939042"
||"Tread"||"7405651"|"1939110"
|"Base Slope"|||"7405655"|"1938907"
||"Tread"||"7405658"|"1938975"
||"Tread"||"7405659"|"1939043"
||"Tread"|"Dip"|"7405663"|"1939111"
||"Tread"|"Dip"|"7405664"|"1938908"
||"Tread"|"Dip"|"7405665"|"1938976"
||"Tread"||"7405666"|"1939044"
||"Riser"||"7405666"|"1939112"
|"Base Slope"|||"7405668"|"1938909"
|"Base Slope"|||"7405669"|"1938977"
|"Base Slope"|||"7405670"|"1939045"
|"Head Slope"|"Tread"||"7405674"|"1939113"
|"Base Slope"|||"7405675"|"1938910"
|"Side Slope"|||"7405676"|"1938978"
|"Base Slope"|"Riser"||"7405680"|"1939046"
||"Tread"||"7405681"|"1939114"
||"Tread"|"Dip"|"7405684"|"1938911"
||"Tread"|"Dip"|"7405685"|"1938979"
||"Tread"|"Dip"|"7405686"|"1939047"
||"Riser"||"7405687"|"1938912"
||"Tread"||"7405687"|"1939115"
||"Riser"||"7405688"|"1939048"
||"Tread"||"7405688"|"1938980"
|"Base Slope"|||"7405689"|"1939116"
|"Base Slope"|||"7405690"|"1938913"
|"Base Slope"|||"7405691"|"1938981"
||"Riser"||"7405692"|"1939117"
||"Tread"||"7405692"|"1939049"
||"Tread"||"7405693"|"1938914"
||"Riser"||"7405694"|"1939050"
||"Tread"||"7405694"|"1938982"
||"Tread"||"7405695"|"1939118"
||"Riser"||"7405695"|"1938915"
||"Tread"||"7405696"|"1938983"
||"Riser"||"7405696"|"1939051"
||"Tread"||"7405697"|"1939119"
||"Riser"||"7405697"|"1938916"
||"Tread"||"7405699"|"1938984"
||"Riser"||"7405700"|"1939052"
||"Riser"||"7405707"|"1938917"
||"Tread"||"7405707"|"1939120"
|"Base Slope"|||"7405709"|"1938985"
|"Base Slope"|||"7405710"|"1939053"
||"Tread"||"7405711"|"1939121"
|"Side Slope"|||"7405712"|"1939122"
|"Base Slope"|||"7405712"|"1939054"
|"Head Slope"|"Riser"||"7405712"|"1938986"
|"Interfluve"|"Tread"||"7405712"|"1938918"
||"Tread"||"7405713"|"1938919"
||"Riser"||"7405713"|"1938987"
||"Riser"||"7405714"|"1939123"
||"Tread"||"7405714"|"1939055"
||"Riser"||"7405715"|"1938988"
||"Tread"||"7405715"|"1938920"
||"Tread"||"7405716"|"1939056"
||"Riser"||"7405716"|"1939124"
||"Riser"||"7405717"|"1938989"
||"Tread"||"7405717"|"1938921"
||"Tread"||"7405718"|"1939057"
||"Riser"||"7405718"|"1939125"
||"Tread"||"7405719"|"1938922"
||"Tread"||"7405720"|"1938990"
||"Riser"||"7405720"|"1939058"
||"Tread"|"Dip"|"7405722"|"1939126"
||"Tread"|"Dip"|"7405723"|"1938923"
||"Tread"|"Dip"|"7405724"|"1938991"
||"Riser"||"7405726"|"1939127"
||"Tread"||"7405726"|"1939059"
||"Tread"||"7405730"|"1938924"
||"Tread"||"7405731"|"1938992"
||"Riser"||"7405731"|"1939060"
||"Riser"||"7405732"|"1938925"
||"Tread"||"7405732"|"1939128"
||"Tread"||"7405733"|"1938993"
||"Riser"||"7405734"|"1939061"
||"Tread"||"7405738"|"1939129"
||"Tread"||"7405739"|"1938926"
||"Riser"||"7405739"|"1938994"
||"Tread"|"Dip"|"7405741"|"1939062"
||"Tread"|"Dip"|"7405742"|"1939130"
||"Tread"|"Dip"|"7405743"|"1938927"
||"Riser"||"7405745"|"1939063"
||"Tread"||"7405745"|"1938995"
||"Tread"||"7405746"|"1939131"
||"Tread"||"7405747"|"1938928"
||"Tread"||"7405748"|"1938996"
||"Riser"||"7405750"|"1938929"
|"Side Slope"|||"7405750"|"1939064"
|"Head Slope"|||"7405750"|"1939132"
||"Riser"||"7405751"|"1939065"
||"Tread"||"7405751"|"1938997"
|"Base Slope"|||"7405752"|"1939133"
||"Riser"||"7405753"|"1938930"
||"Tread"||"7405754"|"1938998"
||"Riser"||"7405754"|"1939066"
||"Riser"||"7405756"|"1938931"
||"Tread"||"7405756"|"1939134"
|"Base Slope"|||"7405757"|"1938999"
|"Base Slope"|||"7405759"|"1939067"
||"Tread"|"Dip"|"7405762"|"1939135"
||"Tread"|"Dip"|"7405763"|"1938932"
||"Tread"|"Dip"|"7405764"|"1939000"
||"Tread"||"7405765"|"1939068"
||"Riser"||"7405765"|"1939136"
|"Base Slope"|||"7405767"|"1938933"
|"Base Slope"|||"7405768"|"1939001"
|"Base Slope"|||"7405769"|"1939069"
||"Riser"||"7405774"|"1938934"
||"Tread"||"7405774"|"1939137"
||"Tread"||"7405776"|"1939002"
||"Riser"||"7405776"|"1939070"
|"Base Slope"|||"7405777"|"1939138"
||"Tread"||"7405779"|"1938935"
||"Tread"|"Dip"|"7405782"|"1939003"
||"Tread"|"Dip"|"7405783"|"1939071"
||"Tread"||"7405784"|"1939139"
||"Riser"||"7405784"|"1938936"
||"Tread"||"7405786"|"1939004"
||"Riser"||"7405786"|"1939072"
||"Tread"||"7405787"|"1939140"
||"Tread"||"7405788"|"1938937"
||"Tread"||"7405793"|"1939005"
||"Riser"||"7405793"|"1939073"
||"Tread"||"7405795"|"1939141"
||"Riser"||"7405796"|"1938938"
|"Base Slope"|||"7405797"|"1939006"
||"Riser"||"7405799"|"1939142"
||"Tread"||"7405799"|"1939074"
||"Riser"||"7405800"|"1939007"
||"Tread"||"7405800"|"1938939"
