"H1"||"A"||||0|||10|||||0|0|0|0|0|0|100|100|100|100|100|100|75|80|85|15|23|30|70|83.8|98||1.1|||12.1|||26.5|||31.9|||12.2||2|9.2|28|||||||2|7|12||||0.5|1.75|3||||1.55|1.58|1.75|||||1.65|||42|92|141|0.05|0.07|0.09||22.5|||17.4|||7.7|||37||0|1.5|2.9|9|13|18|0|0|3|0|0|0|".10"|".10"|0|0|0|0|0|0|0|0|0|0|0|0|1.6|5.7|9.8|1.2|4.3|7.3|1|2.4|4.4|4|4.8|6|||||||||||||||||||||||||||||||||"6034742"|"16804791"
"H2"||"C"||1||10|||89|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|30|36|45|70|77.9|98||0|||1.9|||12.7|||38.6|||24.7||2|16.1|28|||||||2|6|12||||0|0.25|0.5||||1.6|1.65|1.75|||||1.73|||42|92|141|0.04|0.06|0.09||19.8|||14.1|||4.9|||36||0|1.5|2.9|9|12|18|0|0|3|0|0|0|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|0.5|2.1|4.1|0.4|1.5|3.1|1|2.4|4.4|4|4.8|6|||||||||||||||||||||||||||||||||"6034742"|"16804539"
"H3"||"C"||2||89|||213|||||0|0|0|0|0|0|100|100|100|100|100|100|75|77|90|10|14|25|70|90|98||0.7|||13.1|||37|||37.6|||7.1||2|7|28|||||||2|3|12||||0|0.1|0.25||||1.6|1.68|1.75|||||1.76|||42|92|141|0.02|0.04|0.09||12.8|||8.6|||2.4|||35||0|1.5|2.9|9|10|18|0|0|3|0|0|0|".10"|".10"|0|0|0|0|0|0|0|0|0|0|0|0|0.5|1|3.6|0.4|0.7|2.7|1|2.4|4.4|4|4.8|6|||||||||||||||||||||||||||||||||"6034742"|"16804624"
"H1"||"A"||||0|||30|||||0|0|0|0|0|0|97|100|100|92|100|100|57|65|95|28|35|75|30|67.9|80||4.5|||14.5|||18|||20.2|||10.7||5|19.6|45|||||||5|12.5|20||||1|3.5|6||||1.3|1.45|1.6|||||1.52|||14|28|42|0.1|0.13|0.15|||||21.6|||12.4|||41||0|1.5|2.9|18|31|43|2|8|13|0|0|10|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|3.5|11|18.5|2.6|8.2|13.9|1|2.4|4.4|4|4.7|5.5|||||||||||||||||||||||||||||||||"6034767"|"16804533"
"H2"||"B"||1||30|||122|||||0|0|0|0|0|0|97|100|100|92|100|100|57|85|100|28|45|80|25|55.8|80||1.3|||8.2|||14.8|||20.2|||11.3||5|17.7|45|||||||18|26.5|35||||0.5|0.75|1||||1.3|1.4|1.5|||||1.46|||4|9|14|0.12|0.15|0.18|||||24.6|||16.5|||44||0|1.5|2.9|28|37|45|12|18|25|0|4|19|".15"|".15"|0|0|0|0|0|0|0|0|0|0|0|0|5.6|8.3|11|4.2|6.2|8.2|1|2.4|4.4|4|4.7|5.5|||||||||||||||||||||||||||||||||"6034767"|"16804618"
"H3"||"BC"||||122|||152|||||0|0|0|0|0|0|97|100|100|92|100|100|57|65|100|28|35|80|25|57|80||5.2|||13.6|||13.8|||15.3|||9.1||5|25|45|||||||15|18|40||||0|0.25|0.5||||1.3|1.45|1.6|||||1.52|||1.4|8|14|0.12|0.15|0.18|||||20.7|||11.3|||43||0|1.5|2.9|24|28|49|9|12|28|0|0|22|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|3.8|5.1|11.1|2.8|3.8|8.3|1|2.4|4.4|4|4.7|6|||||||||||||||||||||||||||||||||"6034767"|"16804702"
"H4"||"C"||||152|||213|||||0|0|0|0|0|0|100|100|100|100|100|100|50|55|100|5|15|95|20|82|99||17.7|||19.8|||17.5|||17.6|||9.4||1|14|50|||||||2|4|45||||0|0.1|0.25||||1.3|1.4|1.6|||||1.46|||1.4|72|141|0.02|0.08|0.15||16.8|||10.9|||2.7|||45||0|1.5|2.9|0|16|52|0|1|32|0|0|33|".10"|".10"|0|0|0|0|0|0|0|0|0|0|0|0|0.5|1.2|11.8|0.4|0.9|8.9|1|2.4|4.4|4|4.7|6|||||||||||||||||||||||||||||||||"6034767"|"16804786"
"H1"||"A"||||0|||28|||||0|0|0|0|0|0|98|100|100|95|100|100|55|80|100|30|50|90|20|64|80||0|||2.3|||13.8|||32.1|||15.8||5|19|75|||||||10|17|24||||0.5|1.75|3||||1.3|1.4|1.5|||||1.46|||14|28|42|0.12|0.16|0.2|||||22.1|||13|||44||0|1.5|2.9|21|31|40|6|11|16|0|2|15|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|3.6|8.2|12.8|2.7|6.1|9.6|0.4|1.6|3.8|4|6.8|7|||||||||||||||||||||||||||||||||"6034737"|"16804608"
"H2"||"B"||2||28|||97|||||0|0|0|0|0|0|98|100|100|95|100|100|75|90|100|35|65|80|22|40|75||3.6|||5.1|||6.9|||12.6|||11.8||5|34|45|||||||18|26|35||||0|0.25|0.5||||1.3|1.45|1.5|||||1.52|||4|9|14|0.1|0.15|0.18|||||30|||15.4|||43||0|1.5|2.9|27|35|44|12|18|25|0|9|19|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|7.1|9.9|3.4|5.3|7.4|0.5|1.4|3|4|6.3|6.5|||||||||||||||||||||||||||||||||"6034737"|"16804692"
"H3"||"C"||||97|||183|||||0|0|0|0|0|0|90|100|100|80|100|100|40|80|90|4|35|55|50|65|98||4.6|||6.4|||15.5|||23.8|||14.7||1|14|25|||||||2|21|35||||0|0.1|0.25||||1.35|1.5|1.6|||||1.57|||4|14|142|0.04|0.1|0.16|||||22.4|||13.4|||41||0|1.5|2.9|0|31|44|0|14|25|0|0|10|".15"|".15"|0|0|0|0|0|0|0|0|0|0|0|0|0.5|5.5|9.3|0.4|4.1|7|0.1|1.1|2.8|4|4.7|6|||||||||||||||||||||||||||||||||"6034737"|"16804776"
"H4"||"C"||||152|||213|||||0|0|0|0|0|0|100|100|100|100|100|100|50|55|100|5|15|95|20|82|99||17.7|||19.8|||17.5|||17.6|||9.4||1|14|50|||||||2|4|45||||0|0.1|0.25||||1.3|1.4|1.6|||||1.46|||1.4|72|141|0.02|0.08|0.15||16.8|||10.9|||2.7|||45||0|1.5|2.9|0|16|52|0|1|32|0|0|33|".10"|".10"|0|0|0|0|0|0|0|0|0|0|0|0|0.5|1.2|11.8|0.4|0.9|8.9|1|2.4|4.4|4|4.7|6|||||||||||||||||||||||||||||||||"6034747"|"16804555"
"H1"||"A"||||0|||30|||||0|0|0|0|0|0|97|100|100|92|100|100|57|65|95|28|35|75|30|67.9|80||4.5|||14.5|||18|||20.2|||10.7||5|19.6|45|||||||5|12.5|20||||1|3.5|6||||1.3|1.45|1.6|||||1.52|||14|28|42|0.1|0.13|0.15|||||21.6|||12.4|||41||0|1.5|2.9|18|31|43|2|8|13|0|0|10|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0|3.5|11|18.5|2.6|8.2|13.9|1|2.4|4.4|4|4.7|5.5|||||||||||||||||||||||||||||||||"6034747"|"16804639"
"H2"||"B"||1||30|||122|||||0|0|0|0|0|0|97|100|100|92|100|100|57|85|100|28|45|80|25|55.8|80||1.3|||8.2|||14.8|||20.2|||11.3||5|17.7|45|||||||18|26.5|35||||0.5|0.75|1||||1.3|1.4|1.5|||||1.46|||4|9|14|0.12|0.15|0.18|||||24.6|||16.5|||44||0|1.5|2.9|28|37|45|12|18|25|0|4|19|".15"|".15"|0|0|0|0|0|0|0|0|0|0|0|0|5.6|8.3|11|4.2|6.2|8.2|1|2.4|4.4|4|4.7|5.5|||||||||||||||||||||||||||||||||"6034747"|"16804723"
"H3"||"BC"||||122|||152|||||0|0|0|0|0|0|97|100|100|92|100|100|57|65|100|28|35|80|25|57|80||5.2|||13.6|||13.8|||15.3|||9.1||5|25|45|||||||15|18|40||||0|0.25|0.5||||1.3|1.45|1.6|||||1.52|||1.4|8|14|0.12|0.15|0.18|||||20.7|||11.3|||43||0|1.5|2.9|24|28|49|9|12|28|0|0|22|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|3.8|5.1|11.1|2.8|3.8|8.3|1|2.4|4.4|4|4.7|6|||||||||||||||||||||||||||||||||"6034747"|"16804807"
"H3"||"C"||1||117|||213|||||0|0|0|0|0|0|90|100|100|70|100|100|35|60|85|4|10|45|52|90|98||0.6|||12.3|||34.9|||35.5|||6.7||1|6|35|||||||2|4|20||||0|0.1|0.25||||1.35|1.52|1.7|||||1.59|||14|78|141|0.04|0.09|0.15||13.3|||9.2|||2.8|||40||0|1.5|2.9|0|16|31|0|1|13|0|0|2|".10"|".10"|0|0|0|0|0|0|0|0|0|0|0|0|0.5|1.2|5.6|0.4|0.9|4.2|0.1|0.2|1.7|4.5|4.7|6|||||||||||||||||||||||||||||||||"6034717"|"16804545"
