"Sandy clay loam"||"36981360"|"37641644"
"Fine sandy loam"||"36981361"|"37641820"
"Fine sandy loam"||"36981362"|"37641995"
"Sandy loam"||"36981363"|"37642170"
"Very fine sandy loam"||"36981376"|"37641648"
"Clay"||"36981377"|"37641824"
"Sand"||"36981378"|"37641999"
"Clay"||"36981379"|"37642174"
"Loam"||"36981380"|"37641649"
"Sandy clay"||"36981393"|"37641828"
"Loamy sand"||"36981394"|"37642003"
"Sandy loam"||"36981395"|"37642178"
"Clay loam"||"36981396"|"37641653"
"Very fine sandy loam"||"36981410"|"37642007"
"Fine sandy loam"||"36981411"|"37642182"
"Silt loam"||"36981412"|"37641657"
"Loam"||"36981413"|"37641833"
"Loamy fine sand"||"36981427"|"37642186"
"Sandy loam"||"36981428"|"37641661"
"Clay loam"||"36981429"|"37641837"
"Sandy loam"||"36981430"|"37642012"
"Fine sandy loam"||"36981443"|"37642190"
"Very fine sandy loam"||"36981444"|"37641665"
"Fine sandy loam"||"36981445"|"37641841"
"Silt loam"||"36981446"|"37642016"
"Loam"||"36981447"|"37642191"
"Sandy loam"||"36981460"|"37641669"
"Sandy clay loam"||"36981461"|"37641845"
"Sandy clay"||"36981462"|"37642020"
"Sandy loam"||"36981463"|"37642195"
"Fine sand"||"36981477"|"37641849"
"Silty clay loam"||"36981478"|"37642024"
"Silt loam"||"36981479"|"37642199"
"Silt loam"||"36981480"|"37641674"
"Sandy clay loam"||"36981493"|"37641853"
"Sandy loam"||"36981494"|"37642028"
"Clay"||"36981495"|"37642203"
"Fine sandy loam"||"36981496"|"37641678"
"Loam"||"36981497"|"37641854"
"Sandy loam"||"36981510"|"37642032"
"Silty clay loam"||"36981511"|"37642207"
"Loamy sand"||"36981512"|"37641682"
"Loamy fine sand"||"36981513"|"37641858"
"Loam"||"36981527"|"37642211"
"Fine sandy loam"||"36981528"|"37641686"
"Loamy sand"||"36981529"|"37641862"
|"Muck"|"36981530"|"37642037"
"Fine sandy loam"||"36981544"|"37641690"
"Silt loam"||"36981545"|"37641866"
"Clay loam"||"36981546"|"37642041"
"Loamy sand"||"36981547"|"37642216"
"Sandy loam"||"36981560"|"37641694"
