"COS"|"No "|"No "|"Coarse sand"|"18863022"|"36981356"
"S"|"No "|"Yes"|"Sand"|"18863022"|"36981532"
"FS"|"No "|"No "|"Fine sand"|"18863022"|"36981707"
"SIC"|"No "|"No "|"Silty clay"|"18863023"|"36981357"
"SC"|"No "|"No "|"Sandy clay"|"18863023"|"36981358"
"SICL"|"No "|"No "|"Silty clay loam"|"18863023"|"36981533"
"CL"|"No "|"No "|"Clay loam"|"18863023"|"36981708"
"C"|"No "|"Yes"|"Clay"|"18863023"|"36981882"
"SCL"|"No "|"No "|"Sandy clay loam"|"18863023"|"36981883"
"SL"|"No "|"No "|"Sandy loam"|"18863024"|"36981884"
"LS"|"No "|"No "|"Loamy sand"|"18863024"|"36981709"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"18863024"|"36981534"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"18863025"|"36981359"
"SL"|"No "|"No "|"Sandy loam"|"18863025"|"36981535"
"FSL"|"No "|"No "|"Fine sandy loam"|"18863025"|"36981710"
"SCL"|"No "|"No "|"Sandy clay loam"|"18863026"|"36981360"
"SC"|"No "|"No "|"Sandy clay"|"18863026"|"36981536"
"SL"|"No "|"Yes"|"Sandy loam"|"18863026"|"36981885"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"18863027"|"36981361"
"SL"|"No "|"No "|"Sandy loam"|"18863027"|"36981711"
"L"|"No "|"No "|"Loam"|"18863027"|"36981886"
"FSL"|"No "|"No "|"Fine sandy loam"|"18863028"|"36981362"
"SCL"|"No "|"No "|"Sandy clay loam"|"18863028"|"36981537"
"L"|"No "|"Yes"|"Loam"|"18863028"|"36981538"
"SL"|"No "|"No "|"Sandy loam"|"18863028"|"36981712"
"CL"|"No "|"No "|"Clay loam"|"18863028"|"36981887"
"SL"|"No "|"No "|"Sandy loam"|"18863029"|"36981363"
"MK-VFSL"|"No "|"No "|"Mucky very fine sandy loam"|"18863029"|"36981539"
"VFSL"|"No "|"Yes"|"Very fine sandy loam"|"18863029"|"36981713"
"SIL"|"No "|"No "|"Silt loam"|"18863029"|"36981888"
"S"|"No "|"No "|"Sand"|"18863030"|"36981364"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"18863030"|"36981540"
"LS"|"No "|"No "|"Loamy sand"|"18863030"|"36981714"
"FS"|"No "|"No "|"Fine sand"|"18863030"|"36981889"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"18863031"|"36981890"
"L"|"No "|"No "|"Loam"|"18863031"|"36981715"
"SIC"|"No "|"Yes"|"Silty clay"|"18863032"|"36981365"
"C"|"No "|"No "|"Clay"|"18863032"|"36981541"
"SC"|"No "|"No "|"Sandy clay"|"18863032"|"36981716"
"C"|"No "|"No "|"Clay"|"18863033"|"36981366"
"SICL"|"No "|"No "|"Silty clay loam"|"18863033"|"36981542"
