"Sand"||"37323748"|"37986750"
"Loam"||"37323749"|"37986900"
"Silty clay loam"||"37323750"|"37987050"
"Silt loam"||"37323751"|"37986600"
"Fine sandy loam"||"37323765"|"37987054"
"Sandy loam"||"37323766"|"37986604"
"Loam"||"37323767"|"37986755"
"Fine sand"||"37323768"|"37986905"
"Sandy loam"||"37323782"|"37986759"
"Fine sand"||"37323783"|"37986909"
"Sandy loam"||"37323784"|"37987059"
"Sand"||"37323785"|"37986609"
"Sandy loam"||"37323798"|"37986763"
"Sandy loam"||"37323799"|"37986913"
"Clay"||"37323800"|"37987063"
"Loamy sand"||"37323801"|"37986613"
"Sandy clay loam"||"37323815"|"37986917"
"Loam"||"37323816"|"37987067"
"Sandy loam"||"37323817"|"37986617"
|"Muck"|"37323818"|"37986768"
"Fine sandy loam"||"37323832"|"37987071"
"Sand"||"37323833"|"37986621"
"Sandy clay loam"||"37323834"|"37986772"
"Fine sandy loam"||"37323835"|"37986922"
"Clay loam"||"37323848"|"37987075"
"Sandy clay loam"||"37323849"|"37986625"
"Sand"||"37323850"|"37986776"
"Fine sandy loam"||"37323851"|"37986926"
"Sand"||"37323852"|"37987076"
"Sandy loam"||"37323865"|"37986780"
"Loam"||"37323866"|"37986930"
"Clay loam"||"37323867"|"37987080"
"Loam"||"37323868"|"37986630"
"Fine sandy loam"||"37323882"|"37986934"
"Sandy clay loam"||"37323883"|"37987084"
"Silty clay"||"37323884"|"37986634"
"Silty clay"||"37323885"|"37986785"
"Sandy clay loam"||"37323898"|"37986938"
"Loam"||"37323899"|"37987088"
"Silty clay"||"37323900"|"37986638"
"Very fine sandy loam"||"37323901"|"37986789"
"Loam"||"37323902"|"37986939"
"Fine sandy loam"||"37323915"|"37987092"
"Sand"||"37323916"|"37986642"
"Loam"||"37323917"|"37986793"
"Sandy loam"||"37323918"|"37986943"
"Sandy clay"||"37323932"|"37986646"
"Fine sand"||"37323933"|"37986797"
"Clay loam"||"37323934"|"37986947"
"Fine sandy loam"||"37323935"|"37987097"
"Sandy loam"||"37323949"|"37986801"
"Sandy loam"||"37323950"|"37986951"
"Loamy fine sand"||"37323951"|"37987101"
"Sand"||"37323952"|"37986651"
"Loamy sand"||"37323965"|"37986805"
"Loam"||"37323966"|"37986955"
"Silt loam"||"37323967"|"37987105"
"Clay"||"37323968"|"37986655"
"Sand"||"37323969"|"37986806"
"Silt loam"||"37323982"|"37986959"
"Loamy fine sand"||"37323983"|"37987109"
"Loamy sand"||"37323984"|"37986659"
"Loamy sand"||"37323985"|"37986810"
"Sandy loam"||"37323999"|"37987113"
"Loamy fine sand"||"37324000"|"37986663"
"Clay"||"37324001"|"37986814"
"Sandy clay"||"37324002"|"37986964"
"Fine sandy loam"||"37324015"|"37986667"
"Loamy sand"||"37324016"|"37986818"
"Loam"||"37324017"|"37986968"
"Sandy clay"||"37324018"|"37987118"
"Fine sandy loam"||"37324019"|"37986668"
"Silty clay loam"||"37324032"|"37986822"
"Clay"||"37324033"|"37986972"
"Loamy sand"||"37324034"|"37987122"
"Loam"||"37324035"|"37986672"
"Loam"||"37324049"|"37986976"
"Clay loam"||"37324050"|"37987126"
"Sandy clay"||"37324051"|"37986676"
"Sandy loam"||"37324052"|"37986827"
"Sand"||"37324066"|"37987130"
"Fine sandy loam"||"37324067"|"37986680"
"Loamy sand"||"37324068"|"37986831"
"Loam"||"37324069"|"37986981"
"Silty clay loam"||"37324082"|"37987134"
"Loamy fine sand"||"37324083"|"37986684"
"Clay loam"||"37324084"|"37986835"
"Sandy clay loam"||"37324085"|"37986985"
"Clay loam"||"37324086"|"37987135"
"Loamy sand"||"37324099"|"37986688"
"Loamy sand"||"37324100"|"37986839"
"Silty clay"||"37324101"|"37986989"
"Loamy sand"||"37324102"|"37987139"
"Silty clay"||"37324116"|"37987143"
"Loamy sand"||"37324117"|"37986693"
"Sandy clay loam"||"37324118"|"37986844"
"Fine sandy loam"||"37324119"|"37986994"
"Loamy fine sand"||"37324132"|"37987147"
"Sand"||"37324133"|"37986697"
"Fine sandy loam"||"37324134"|"37986848"
"Sand"||"37324135"|"37986998"
"Silty clay loam"||"37324136"|"37987148"
"Sandy clay"||"37324149"|"37986701"
"Silty clay"||"37324150"|"37986852"
||"37324151"|"37987002"
"Fine sandy loam"||"37324152"|"37987152"
"Sandy clay loam"||"37324166"|"37987006"
"Fine sandy loam"||"37324167"|"37987156"
"Clay loam"||"37324168"|"37986706"
"Sandy loam"||"37324169"|"37986857"
"Fine sandy loam"||"37324183"|"37986710"
"Clay loam"||"37324184"|"37986861"
"Very fine sandy loam"||"37324185"|"37987011"
"Clay loam"||"37324186"|"37987161"
"Clay loam"||"37324199"|"37986714"
"Silty clay"||"37324200"|"37986865"
"Fine sandy loam"||"37324201"|"37987015"
"Sandy loam"||"37324202"|"37987165"
